epoc,open,high,low,close,volume
1500262200,9908.15,9908.15,9908.15,9908.15,0
1500263100,9908.15,9913.9,9899.5,9911.65,0
1500264000,9911.95,9915.15,9894.85,9897.7,0
1500264900,9899.05,9916.25,9898.45,9915.35,0
1500265800,9915.1,9916.7,9907.15,9915.3,0
1500266700,9915.45,9920.3,9911.8,9916.05,0
1500267600,9915.95,9920.05,9914.0,9917.75,0
1500268500,9917.4,9920.1,9914.4,9918.8,0
1500269400,9918.7,9920.15,9913.85,9915.25,0
1500270300,9915.4,9916.55,9908.95,9909.65,0
1500271200,9909.95,9911.25,9902.75,9910.15,0
1500272100,9910.05,9914.3,9909.0,9914.3,0
1500273000,9914.05,9914.55,9903.75,9904.7,0
1500273900,9904.75,9908.45,9902.6,9907.75,0
1500274800,9907.7,9910.75,9904.85,9907.75,0
1500275700,9907.9,9911.05,9905.9,9908.0,0
1500276600,9908.35,9911.1,9905.95,9907.05,0
1500277500,9907.25,9909.05,9904.3,9907.9,0
1500278400,9908.05,9914.65,9908.05,9911.2,0
1500279300,9911.3,9915.05,9908.85,9910.5,0
1500280200,9910.75,9917.3,9909.4,9917.3,0
1500281100,9917.4,9922.85,9916.7,9920.5,0
1500282000,9920.3,9924.05,9916.0,9921.0,0
1500282900,9921.1,9928.2,9919.65,9922.05,0
1500283800,9922.1,9927.7,9919.25,9919.9,0
1500284700,9919.05,9921.3,9910.4,9913.65,0
1500262200,9908.15,9908.15,9908.15,9908.15,0
1500263100,9908.15,9913.9,9899.5,9911.65,0
1500264000,9911.95,9915.15,9894.85,9897.7,0
1500264900,9899.05,9916.25,9898.45,9915.35,0
1500265800,9915.1,9916.7,9907.15,9915.3,0
1500266700,9915.45,9920.3,9911.8,9916.05,0
1500267600,9915.95,9920.05,9914.0,9917.75,0
1500268500,9917.4,9920.1,9914.4,9918.8,0
1500269400,9918.7,9920.15,9913.85,9915.25,0
1500270300,9915.4,9916.55,9908.95,9909.65,0
1500271200,9909.95,9911.25,9902.75,9910.15,0
1500272100,9910.05,9914.3,9909.0,9914.3,0
1500273000,9914.05,9914.55,9903.75,9904.7,0
1500273900,9904.75,9908.45,9902.6,9907.75,0
1500274800,9907.7,9910.75,9904.85,9907.75,0
1500275700,9907.9,9911.05,9905.9,9908.0,0
1500276600,9908.35,9911.1,9905.95,9907.05,0
1500277500,9907.25,9909.05,9904.3,9907.9,0
1500278400,9908.05,9914.65,9908.05,9911.2,0
1500279300,9911.3,9915.05,9908.85,9910.5,0
1500280200,9910.75,9917.3,9909.4,9917.3,0
1500281100,9917.4,9922.85,9916.7,9920.5,0
1500282000,9920.3,9924.05,9916.0,9921.0,0
1500282900,9921.1,9928.2,9919.65,9922.05,0
1500283800,9922.1,9927.7,9919.25,9919.9,0
1500284700,9919.05,9921.3,9910.4,9913.65,0
1500348600,9832.7,9832.7,9832.7,9832.7,0
1500349500,9863.5,9871.55,9853.25,9871.55,0
1500350400,9870.3,9877.65,9866.4,9871.7,0
1500351300,9872.35,9884.45,9872.35,9876.4,0
1500352200,9877.25,9877.25,9873.35,9873.35,0
1500353100,9872.75,9875.7,9871.45,9873.4,0
1500354000,9873.8,9875.0,9872.05,9872.65,0
1500354900,9872.7,9872.7,9857.55,9857.55,0
1500355800,9857.65,9858.55,9842.45,9853.1,0
1500356700,9853.35,9859.2,9850.9,9859.2,0
1500357600,9862.15,9862.85,9858.8,9862.25,0
1500358500,9862.6,9862.6,9858.7,9859.05,0
1500359400,9859.45,9860.25,9853.8,9856.25,0
1500360300,9856.35,9858.85,9853.8,9853.8,0
1500361200,9856.9,9856.9,9849.3,9851.7,0
1500362100,9850.25,9853.35,9847.6,9847.6,0
1500363000,9847.75,9849.25,9842.9,9842.95,0
1500363900,9844.25,9855.0,9842.05,9855.0,0
1500364800,9852.35,9852.75,9845.0,9845.0,0
1500365700,9847.1,9864.2,9847.1,9860.45,0
1500366600,9864.55,9870.8,9864.55,9867.6,0
1500367500,9869.55,9869.55,9860.65,9861.4,0
1500368400,9860.0,9860.0,9829.5,9836.35,0
1500369300,9836.85,9836.85,9817.95,9827.05,0
1500370200,9825.65,9832.15,9824.15,9829.85,0
1500371100,9825.95,9828.45,9824.2,9828.45,0
1500348600,9832.7,9832.7,9832.7,9832.7,0
1500349500,9863.5,9871.55,9853.25,9871.55,0
1500350400,9870.3,9877.65,9866.4,9871.7,0
1500351300,9872.35,9884.45,9872.35,9876.4,0
1500352200,9877.25,9877.25,9873.35,9873.35,0
1500353100,9872.75,9875.7,9871.45,9873.4,0
1500354000,9873.8,9875.0,9872.05,9872.65,0
1500354900,9872.7,9872.7,9857.55,9857.55,0
1500355800,9857.65,9858.55,9842.45,9853.1,0
1500356700,9853.35,9859.2,9850.9,9859.2,0
1500357600,9862.15,9862.85,9858.8,9862.25,0
1500358500,9862.6,9862.6,9858.7,9859.05,0
1500359400,9859.45,9860.25,9853.8,9856.25,0
1500360300,9856.35,9858.85,9853.8,9853.8,0
1500361200,9856.9,9856.9,9849.3,9851.7,0
1500362100,9850.25,9853.35,9847.6,9847.6,0
1500363000,9847.75,9849.25,9842.9,9842.95,0
1500363900,9844.25,9855.0,9842.05,9855.0,0
1500364800,9852.35,9852.75,9845.0,9845.0,0
1500365700,9847.1,9864.2,9847.1,9860.45,0
1500366600,9864.55,9870.8,9864.55,9867.6,0
1500367500,9869.55,9869.55,9860.65,9861.4,0
1500368400,9860.0,9860.0,9829.5,9836.35,0
1500369300,9836.85,9836.85,9817.95,9827.05,0
1500370200,9825.65,9832.15,9824.15,9829.85,0
1500371100,9825.95,9828.45,9824.2,9828.45,0
1500435000,9855.95,9855.95,9855.95,9855.95,0
1500435900,9866.8,9868.2,9853.9,9857.1,0
1500436800,9859.2,9873.8,9859.2,9863.4,0
1500437700,9862.35,9867.25,9856.95,9866.2,0
1500438600,9864.95,9866.95,9862.9,9863.9,0
1500439500,9865.4,9872.85,9865.4,9872.85,0
1500440400,9873.1,9875.8,9870.4,9875.45,0
1500441300,9875.35,9876.15,9871.0,9871.65,0
1500442200,9869.15,9872.8,9867.4,9872.8,0
1500443100,9872.8,9877.7,9871.5,9877.45,0
1500444000,9880.2,9881.2,9876.9,9880.65,0
1500444900,9881.35,9881.35,9876.55,9877.1,0
1500445800,9878.4,9879.5,9874.15,9878.6,0
1500446700,9880.5,9885.4,9880.4,9884.05,0
1500447600,9884.6,9888.8,9883.0,9883.0,0
1500448500,9881.6,9882.05,9875.6,9876.15,0
1500449400,9875.05,9878.85,9873.3,9875.3,0
1500450300,9875.85,9876.65,9872.35,9874.9,0
1500451200,9875.8,9875.8,9871.35,9871.5,0
1500452100,9865.2,9868.65,9862.0,9863.75,0
1500453000,9866.9,9876.7,9866.9,9876.7,0
1500453900,9876.9,9879.2,9875.2,9877.65,0
1500454800,9878.1,9889.2,9877.35,9884.75,0
1500455700,9886.2,9898.1,9886.2,9894.65,0
1500456600,9896.7,9903.45,9894.95,9897.95,0
1500457500,9898.95,9904.0,9898.95,9902.05,0
1500435000,9855.95,9855.95,9855.95,9855.95,0
1500435900,9866.8,9868.2,9853.9,9857.1,0
1500436800,9859.2,9873.8,9859.2,9863.4,0
1500437700,9862.35,9867.25,9856.95,9866.2,0
1500438600,9864.95,9866.95,9862.9,9863.9,0
1500439500,9865.4,9872.85,9865.4,9872.85,0
1500440400,9873.1,9875.8,9870.4,9875.45,0
1500441300,9875.35,9876.15,9871.0,9871.65,0
1500442200,9869.15,9872.8,9867.4,9872.8,0
1500443100,9872.8,9877.7,9871.5,9877.45,0
1500444000,9880.2,9881.2,9876.9,9880.65,0
1500444900,9881.35,9881.35,9876.55,9877.1,0
